job_title,place,company,salary,job_info
資料分析師Data Analyst(新店),新北市新店區,裕融企業股份有限公司,面議（經常性薪資4萬/月含以上）,"1. 導入用戶瀏覽行為、出行、車輛生態圈等多項服務的內部數據，進行數據清洗、特徵工程，並運用統計、機器學習、深度學習或其他相關演算法，進行多項有趣的應用及預測，幫助車輛資源最大化。將數據與機器學習模型可視化處理，例如：使用Tableau、Metabase等。
2. 對各種領域知識，有強烈學習企圖，並與產品、系統開發團隊緊密合作，了解各產品的市場現況及迭代過程。想像力豐富，如何利用數據到各種不同的應用。
3. 善於說故事及表達，讓大家理解產出結果。"
Clinical Data Analyst,台北市中正區,橙灝生技顧問有限公司,月薪 3.5萬~6萬元,"我們是家CRO 公司,此職缺是生物統計與資料處理部門:
其部門工作內容含括如下:
受試者個案報告書(case report form)設計與製作
受試者個案報告書使用手冊設計與製作
程式化製做的隨機處理列表(randomization list)
資料處理計畫/報告撰寫
資料庫開發與驗證
資料庫更正紀錄的設計與更正紀錄的保存
雙重資料輸入(double entry)與資料庫比對
資料驗證規則撰寫
資料驗證規則的程式撰寫與程式驗證
資料編碼
資料審核
資料錯誤清除(提問與更正資料庫)
資料庫鎖定, 解除, 再鎖定
資料傳輸
期中資料清理與產出(期中分析且/或資料安全監測委員(DSMB)資料檢閱)
受試者資料列表
統計諮詢
樣本數與檢定力(power)計算 (使用nQuery Advisor, SAS)
統計分析計畫撰寫
盲性檢閱與執行分析前會議
統計分析程式撰寫與程式驗證
統計分析結果(表，圖，列表)輸出與釋義
統計報告撰寫
期中分析"
Data Analyst - AD,台北市大安區,狄卡科技股份有限公司(Dcard),月薪 5萬~10萬元,"【投遞辦法】請至：https://grnh.se/7076100b1us 投遞履歷， 我們會以這邊收到的履歷為主。

Dcard 是在年輕族群有極高滲透率與影響力的社群平台。我們致力於打造一個讓每個人都可以放心分享自己故事的地方，讓平凡人分享不平凡故事的新世代社群服務。我們的用戶來自世界各地，除了既有社群服務與版圖，我們也正全力擴張發展新型業務及跨國市場。

面對快速變化的社群生態，我們期待更多優秀的人才加入 Dcard。為了達成這個目標，我們需要 Data Analyst - AD 加入我們，你所做的分析決策將能立刻接觸到龐大的使用者，在他們的生活中創造一個美好的驚喜。加入這個熱愛挑戰的團隊，一起打造被千萬人喜愛與使用的產品！

【為什麼你該加入 Dcard？】

Dcard 產品從抽卡延伸至論壇、電商等、服務對象從大學生到所有年輕人。我們正在以成長型思維打造一個快速成長、持續擴展影響力的組織。團隊聚焦長期使命願景與戰略，一同專注目標並持續突破。我們面向世界，在不同領域創造更多的發展與機會，也不滿足於現有版圖。我們需要你的加入幫助 Dcard 在更多領域提供價值給使用者！

【關於 Dcard 產品/廣告團隊】

．身為產品團隊的一員，你將和 Product Manager 一同合作；為了讓我們的使用者擁有更好的體驗，
身為 Product Analyst，你必須梳理大量的資料，並從中了解使用者的需求，協助我們設計更好的產品。

．身為廣告團隊的一員，你將致力於打造用戶與產品間的良好媒合生態系，是 Dcard 面向品牌方提供廣告、行銷企劃等服務的團隊。

你將與產品開發團隊、以及廣告銷售團隊共同協作，打造符合市場需求的產品。

【你將在團隊參與⋯】

．因應公司戰略營運方針，發起產品相關實驗、制定產品策略並追蹤使用者行為。
．與產品開發團隊緊密合作，協助團隊達成產品目標或指標。
．負責透過各種用戶獲取管道(如 Google Ads、 Facebook Ads 及 Facebook 粉專等方式)，分析獲取成效，並協助行銷預算優化。
．收集、分析與整併各方數據製作 dashboard 等報表，提供數據洞察給產品開發團隊，並進一步與團隊優化產品決策。
．協助 Dcard 線上/線下行銷活動數據分析、活動成效管理與調整。

【我們期待看到一個優秀的 Data Analyst - AD 具備以下能力】

．良好的溝通與表達能力，長期和產品團隊溝通合作。
．熟悉 SQL 語法，擁有從關聯式資料庫查詢資料的經驗。
．熟悉並理解數位廣告市場各關鍵指標計算及用途（例如 CPM, ROAS, CPA 等 ）
．熟悉 Google Data Studio 或其他視覺化工具，並能自己將各方資料整合與運用。
．了解數位行銷趨勢，並可以快速入手各式分析工具。
．具有廣告投放經驗並熟悉數位廣告生態（熟悉 Google Ads、 Facebook Ads、LINE Ads Platform 等廣告投放）。

【如果你擁有以下能力，那就更棒了！】

．曾是 Data Analyst 或在任何團隊擔任產品分析角色，擁有 APP 分析相關經驗尤佳。
．在新創或科技公司相關工作經驗，能迅速適應速度極快及跨部門協作的工作環境。
．具有 Data-driven 思維必具備實驗精神且熟悉 A/B Testing。
．熟悉 Google Analytics 等數據分析平台或工具。
．對數位行銷、社群有熱誠，對整合行銷有全面的了解。

【為什麼要加入我們？】

．充滿熱情的跨國團隊，用成長型思維打造快速成長的組織。
．打造社群、電商、廣告、跨國市場等挑戰性產品，參與各類新想法、新產品甚至是新市場的誕生！
．擁有高頻率的溝通文化，夥伴頻繁地討論合作並給予回饋。
．隨時取得書籍、課程講座、國內外 Conference 等任何資源，持續學習就是 Dcard 團隊的核心精神。
．彈性的工作氛圍，不論你是工程師、營運、設計等任何角色，你將擁有彈性工時安排的空間。
．重視每個相聚的時刻 ，不論是線上或線下，舉辦節慶派對各式分享會，讓大家在團隊生活得更開心。

【薪資】

．5 - 10 萬 / 月"
Data Analyst-TC21148,桃園市八德區,"美超微電腦股份有限公司(Super Micro Computer, Inc.)",面議（經常性薪資4萬/月含以上）,"Summary
Supermicro is seeking a a Data Integration Developer responsible for designing and integrating business processes for the CRM use cases in SAP with HubSpot. This candidate will have a proven background in data integration and SAP and HubSpot platforms as a requirement. This role will report tot the Sr. Marketing manger, Operations & Strategy, for Supermicro and is based in our Taiwan location.
Essential Duties and Responsibilities
• Design best practice integration processes to keep customers, contacts, leads and opportunities in sync
• Build APIs for data pull and push between SAP and HubSpot
• Measure, track & optimize campaign success with bidirectional data and process integration between HubSpot and SAP
• Hands-on development with a willingness to troubleshoot and solve complex problems
• Ability to communicate complex technology solutions to diverse teams namely, technical, business and management teams
• Works with analysts and developers to plan out tool integrations from SAP for sales
• Enable sales and marketing leaders with lead intelligence and email usage metrics"
精準醫療與健康大數據計畫助理或博士後研究員,苗栗縣竹南鎮,財團法人國家衛生研究院,月薪 3.7萬元以上,"徵數名計畫研究助理或博士後研究員(國衛院鄒小蕙老師研究室)
本計畫徵求數名研究助理，工作內容略有不同，具有以下部份條件者皆歡迎來函

•       對 COVID-19 或新興感染症預測模式有興趣者尤佳
•       對 AI (人工智慧), 機器學習, 深度學習有興趣者尤佳

1. 執行研究計畫相關業務、計畫報告撰寫、彙整及論文撰寫
2. 資料收集、資料匯整、資料分析 、建置網頁與網站架設
3. 主管交辦事項 
4. 會議辦理 
5. 行政聯絡。

應徵條件要求：
	學科背景
(1) 國內外大學數學、統計、公共衛生、或流行病學相關科系碩士(含)以上畢業。具資料統計分析經驗。
或
(2) 國內外大學統計、公共衛生、生物資訊、或流行病學相關科系畢業。具資料統計分析經驗。具資料庫處理及分析經驗者尤佳。

	具備使用Excel, Word 一般文件處理能力
(1) 熟悉R程式。熟悉MATLAB程式撰寫者或具備分析健保資料庫資料經驗者尤佳。
或
(2) 熟悉php, html, MySQL, SQL server，能建置網頁者。具備分析健保資料庫資料經驗者或熟悉R程式撰寫者尤佳。

	英文閱讀能力佳，論文及計畫報告撰寫能力佳。具獨立研究之能力。
	工作態度認真負責，具良好團隊合作精神及溝通能力、高度協調性及工作配合度者。數理統計學類,公共衛生學類,資訊科學學門"
I3911 Sr. Data Engineer,台北市內湖區,遠傳電信股份有限公司,面議（經常性薪資4萬/月含以上）,"主要協助企業暨國際事業群的客戶開發及處理資料倉儲/大數據/電信大數據相關專案規劃資料分析用的資料庫系統，訂定資料搜集、存取、處理、運算的資料管理和監控流程及評估業務流程，根據客戶需求，提供開發和實施的解決方案。, 工作內容如下:

1.資料分析:
a.確認資料，分析且能轉譯複雜的資料集引入資料庫
b.當需要的時候，能引入業務需要的第三方資料
c.優化資料搜集流程，建置資料分析平台
d.資料模型設計,優化及負責資料來源與所設計資料模型間資料轉換的定義

2.資料倉儲:
a.資料處理，清洗和確認資料分析的完整性
b.開發資料庫，資料搜集系統，資料分析和其他能優化運算效能和資料品質的流程
c.建置異常監控系統，以便確保效能和資料品質

3.資料庫管理:
a.資料庫架構評估、規劃與建置 / 資料庫軟體安裝與升級。
b.資料庫備份規劃與建置 / 資料庫備援規劃與建置。
c.資料庫安全機制規劃與建置 / 資料庫障礙排除與災後復原
d.資料庫監控(備份,效能,安全性) /資料庫效能調校( OS, DB, SQL調校 )
e.提供諮詢並處理使用者使用資料庫的相關問題 / 資料庫變更服務執行

4.電信大數據平台設計及管理
a.負責電信大數據平台管理及相關開發
b.TDX相關api規劃及設計
c.配合及協助電信大數據分析團隊產製相關分析資料集所需報表

5.團隊合作
a.良好的溝通能力，讓產出的資料能有效的協助客戶使用
b.良好的表達能力和報表呈現技巧，能讓非技術相關的客戶，也能輕易理解
c.與公司內部相關的分析團隊和技術團隊，密切的合作，共同解決複雜的業務需求
e.協助管理單位排序業務需求和資訊內容的輕重緩急電算機學門,數學統計學門,工業管理學類"
Senior Clinical Data Manager,台北市信義區,丘以思生技顧問有限公司,面議（經常性薪資4萬/月含以上）,"Job Overview:        

The Senior Clinical Data Manager is responsible for leading the clinical data management activities for a project including CRF design, database development, processing external data, medical coding, data review, SAE reconciliation and database close/lock procedures in accordance with Clinipace Worldwide SOPs, Good Clinical Practice, ICH Guidelines and sponsor requirements.  Responsible for leading Data Management activities for a project including timeline, budget, quality management, client relationship and the facilitation of their projects within the data management team. 

 

Job Duties and Responsibilities:

The specific job duties of a Senior Clinical Data Manager may include but are not limited to:

Perform Lead Data Manager role on the study teams assigned; oversee the DM deliverables for the project including leading the DM team, communications with the client, ensuring adherence to timelines and budget responsibility (maintain identified margins)
Provide Data Management deliverables in accordance with internal and external company requirements
Proactively coordinate and perform start-up, maintenance and close out activities, as detailed in our SOPs, guidelines, templates and best practice documents
Lead study setup including CRF design, DVP, CCGs, DMP and all associated DM deliverables; including approvals
Communicate with cross functional groups throughout the project lifecycle
Proactively manage project scope and budgets, including time spent on data management tasks, and associated timelines and projections
Proactively manage project quality via coordination and quality control of team members’ work
Participation in reviewing and responding to QA audit reports
Proactive participation in appropriate sponsor/project team meetings
Provide training to site personnel in person or via electronic meetings
Active involvement in departmental and organizational meetings and initiatives
Participates in the review of cross-functional department procedures
Training and Mentoring of team members in accordance with established departmental procedures
Represent Clinipace at client meetings and bid defenses
Supports and tracks budget adherence in cooperation with Finance to ensure the assigned studies are meeting targeted margins and utilization
Continuous improvement of departmental processes and procedures to ensure DM is consistently maximizing efficiencies, leveraging technology and incorporating innovation to optimize delivery
Maintains working knowledge of regulatory requirements/guidance as well as industry leading best practices to ensure Clinipace DM procedures are in line with industry expectations
May indirectly supervise the work of other junior members of the project team
Other duties as assigned醫藥衛生學門,數學統計學門"
Data Architect_新竹_00000,新竹市東區,緯創資通股份有限公司(緯創資通),面議（經常性薪資4萬/月含以上）,"1. 設計有效的資料庫解決方案和模型，以存儲和檢索公司數據。
2. 設計End to End資料之傳輸與處理。
3. 規範資料來源、格式、傳輸頻率和品質標準。"
Data Center Security Officer,彰化縣線西鄉,英商台灣士瑞克保全股份有限公司(G4S),月薪 4.5萬元以上,"1. Safety and security services delivery for protecting people and property.
2. Incident reporting and response actions complied with corporate policy and guidelines.
3. Monitoring the environment and deterring suspicious and unsafe activities.
4. Access control in terms of checking identifications/badges.
5. Patrolling in/around buildings and campus areas on foot or in vehicle.
6. Knowledge of emergency procedures, equipments and supplies.普通小型車"
【數位企業】資料工程師 Data Engineer,台北市信義區,華新麗華股份有限公司,面議（經常性薪資4萬/月含以上）,"1. Evaluate, design and implement highly scalable data management systems for data ingestion, storage, processing, and visualization (e.g. Hadoop, Spark, Tableau).
2. Support data scientists to ingest, integrate and pre-process data, in batch or streaming.
3. Develop, deploy and maintain data-analytic products for users.資訊工程學類"
